Training File,Prediction File,Variable,Baseline,Lower Limit,Upper Limit,MAE,RMSE,MAPE,R2,False Positive Rate,False Negative Rate,False Positives,False Negatives,False Alert Rate,Total Samples,False Alerts
SD5.csv,SD1.csv,systolic_blood_pressure,45.1675,31.617249999999995,58.717749999999995,0.9015778421353893,1.145406719756568,1.3283230193641573,0.9972539986913721,0.033776867963152504,0.004705144291091593,33,15,0.011524609843937574,4165,48
SD5.csv,SD1.csv,diastolic_blood_pressure,26.02,18.214,33.826,1.2022178976895883,1.3675775668835124,3.013727980527277,0.9922271118437083,0.22698072805139186,0.00027041644131963225,106,1,0.025690276110444176,4165,107
SD5.csv,SD1.csv,pulse_rate,143.7275,100.60924999999999,186.84575,5.5587576107103,6.388915392614207,3.465689286025923,0.9377514350194603,0.0,0.1793478260869565,0,99,0.02376950780312125,4165,99
SD5.csv,SD4.csv,systolic_blood_pressure,63.28,44.296,82.26400000000001,1.7508431138110763,2.6370296036644967,2.0869133861875016,0.9786032976513036,0.11084624553039332,0.0,93,0,0.03907563025210084,2380,93
SD5.csv,SD4.csv,diastolic_blood_pressure,43.765,30.635499999999997,56.8945,0.9029596713410706,1.190970191165673,1.2258739290916594,0.9961142242548989,0.001358695652173913,0.0012165450121654502,1,2,0.0012605042016806723,2380,3
SD5.csv,SD4.csv,pulse_rate,153.4475,107.41324999999999,199.48175,2.2078161839076453,3.1482980542176087,1.1797224695036204,0.9954127066479849,0.001652892561983471,0.01623931623931624,2,19,0.008823529411764706,2380,21
SD5.csv,SD8.csv,systolic_blood_pressure,98.885,69.2195,128.5505,1.375449229490693,1.6608782039907712,1.3865885817255257,0.36315452460283104,0.0,0.0,0,0,0.0,2614,0
SD5.csv,SD8.csv,diastolic_blood_pressure,78.045,54.631499999999996,101.4585,1.367076827080631,1.5932957649719668,1.9147013009813685,0.5555956942209559,0.0,0.0,0,0,0.0,2614,0
SD5.csv,SD8.csv,pulse_rate,250.6625,175.46374999999998,325.86125,2.3516044120525894,2.6562983887699088,0.8056116174722183,0.7780732521789437,0.0,0.0,0,0,0.0,2614,0
SD5.csv,SD2.csv,systolic_blood_pressure,61.1375,42.79625,79.47875,1.7160607480717278,2.276437694302512,1.9547598789320246,0.9938038623150208,0.0005977286312014345,0.0013837638376383763,1,3,0.001041395469929706,3841,4
SD5.csv,SD2.csv,diastolic_blood_pressure,40.27125,28.189875,52.352625,5.051185433611961,8.360244806543706,6.901454088738588,0.8894009539105422,0.027155465037338764,0.09121621621621621,40,216,0.06664931007550118,3841,256
SD5.csv,SD2.csv,pulse_rate,219.645,153.7515,285.5385,3.7637644248590965,5.398795578711648,2.1296855159214694,0.9949854753815394,0.011682242990654205,0.14513856270549555,20,309,0.0856547774017183,3841,329
SD5.csv,SD7.csv,systolic_blood_pressure,63.1775,44.22425,82.13075,4.531291198509583,5.670903201266638,4.626528792149029,0.944451646586421,0.3789954337899543,0.0,498,0,0.14418066010422698,3454,498
SD5.csv,SD7.csv,diastolic_blood_pressure,40.13,28.091,52.169000000000004,1.3075216433597425,2.0542146890556623,1.502591325170732,0.9923065279258064,0.05541346973572037,0.00526085050416484,65,12,0.022292993630573247,3454,77
SD5.csv,SD7.csv,pulse_rate,134.4675,94.12724999999999,174.80775,1.7574360399627245,2.172947035587091,0.8648966624370649,0.997933064626796,0.0011961722488038277,0.046982429335370515,1,123,0.03590040532715692,3454,124
SD5.csv,SD6.csv,systolic_blood_pressure,80.85,56.59499999999999,105.10499999999999,0.5766287163415272,0.7378096848370572,0.612826307716535,0.9883789724621463,0.000286368843069874,1.0,1,7,0.002286367533581023,3499,8
SD5.csv,SD6.csv,diastolic_blood_pressure,61.6525,43.15675,80.14825,0.5164960494345343,0.7010074579107881,0.7147125596061927,0.9885278127017528,0.029078665442301806,0.08620689655172414,95,20,0.03286653329522721,3499,115
SD5.csv,SD6.csv,pulse_rate,159.49,111.643,207.33700000000002,0.8848362148881265,1.1752077258121325,0.48945258463939467,0.9844231147267738,0.0,0.0,0,0,0.0,3499,0
SD5.csv,SD3.csv,systolic_blood_pressure,90.4225,63.29575,117.54925,2.227500229805301,2.495661679270471,2.6197137933195314,-0.5399707504065716,0.0,0.0,0,0,0.0,3883,0
SD5.csv,SD3.csv,diastolic_blood_pressure,71.385,49.969500000000004,92.80050000000001,1.080420371032762,1.3379806874643971,1.674268399767676,0.7065331531493917,0.0,0.0,0,0,0.0,3883,0
SD5.csv,SD3.csv,pulse_rate,271.2175,189.85224999999997,352.58275,1.0960845986562018,1.4395921964009255,0.4112546336253068,0.9834163664328099,0.0,0.0,0,0,0.0,3883,0
SD1.csv,SD5.csv,systolic_blood_pressure,99.2375,69.46624999999999,129.00875,1.0433614643013365,1.2667701282143966,1.00016727052672,0.8411237930166955,0.0,0.0,0,0,0.0,4474,0
SD1.csv,SD5.csv,diastolic_blood_pressure,71.205,49.8435,92.5665,2.522485725358495,2.6923209619554442,3.392871869575164,0.5017043997763224,0.0,0.0,0,0,0.0,4474,0
SD1.csv,SD5.csv,pulse_rate,241.2725,168.89075,313.65425000000005,3.182312809786841,3.4527661559150666,0.9678363831744825,0.9667780668234826,0.1187648456057007,0.0,100,0,0.022351363433169423,4474,100
SD1.csv,SD4.csv,systolic_blood_pressure,63.28,44.296,82.26400000000001,0.7848742204553941,1.093272327805845,0.8475056379047193,0.996322323319384,0.00834326579261025,0.0012978585334198572,7,2,0.003781512605042017,2380,9
