Model,Best_Params,Training_Time,MAE,RMSE,MAPE,R2
Transformer,"{'lr': 0.00019574895387149935, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.4659987177426529, 'num_heads': 4}",31.33814836,0.56368035,0.9809921,156.5053701,0.067913148
XGBoost,"{'lr': 0.0007097635110400605, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.2907506891623096}",0,1.0881652,1.5083832,875.6328583,-1.208411133
CNN,"{'lr': 0.004056272736326398, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.2621916344115752, 'kernel_size': 5, 'channel_0': 68}",6.312744141,0.31934288,0.5823715,140.2529597,0.671729916
LSTM,"{'lr': 0.009648796926969742, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.19225017188901547}",5.039762735,0.42891696,0.6153621,115.6456113,0.467490571
BiLSTM,"{'lr': 0.00782629833379364, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.3495244111272947}",3.672187805,0.24074595,0.3299469,58.84739161,0.860926621
GRU,"{'lr': 0.0004757612756564804, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.16538842556796562}",4.151231527,0.15865313,0.23649621,66.4667666,0.928124723
CNN-LSTM,"{'lr': 0.001225275277857924, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3349776776994665, 'kernel_size': 9}",4.110402346,0.27495646,0.37053934,178.5104513,0.825174978
TCN,"{'lr': 0.00010745654758501137, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.11275617787536613, 'kernel_size': 3, 'channel_0': 117}",5.770685673,1.1243411,1.7296176,290.6342268,-2.937933377
Transformer,"{'lr': 0.00020333501939037683, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.23714250656315736, 'num_heads': 2}",12.11537313,0.35193244,0.46835658,100.3200412,0.706707001
XGBoost,"{'lr': 0.0008183180939077575, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.10906391344216325}",0,1.4032003,1.6203877,419.4257736,-2.606148998
CNN,"{'lr': 0.0001278768695817121, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.3317531150717896, 'kernel_size': 7, 'channel_0': 63, 'channel_1': 233, 'channel_2': 36}",7.30439043,0.74843186,0.97139,152.9590964,-0.273450723
LSTM,"{'lr': 0.0005630675799121636, 'num_layers': 3, 'hidden_units': 32, 'dropout': 0.10191530313751299}",6.989830017,0.3823645,0.49972862,163.2938504,-0.466212888
BiLSTM,"{'lr': 0.0009341385983011089, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.47079724827937475}",8.444034338,0.33377135,0.4398958,169.4892645,-0.101658521
GRU,"{'lr': 0.0001677334557685834, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.19438682713221866}",5.290966034,0.28087485,0.36072785,274.9147415,0.273744531
CNN-LSTM,"{'lr': 0.00024698983984073464, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2064317432032081, 'kernel_size': 4}",7.665964603,0.3472233,0.46321532,155.8060527,-0.207289051
TCN,"{'lr': 0.00032434713578961876, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.442931793822931, 'kernel_size': 6, 'channel_0': 39, 'channel_1': 215}",13.03455687,0.3730154,0.4846986,215.987587,-0.345849229
Transformer,"{'lr': 0.00014768062838903102, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.14718515541741756, 'num_heads': 2}",14.43265295,0.359095,0.47742295,219.5852757,-0.292008116
XGBoost,"{'lr': 0.0003843470811364731, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.3313936700314196}",0,1.1568562,1.32243,625.9141922,-11.03068582
CNN,"{'lr': 0.0003073785232010264, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.12504566875580694, 'kernel_size': 7, 'channel_0': 216}",4.102519512,0.32981148,0.43456802,255.3084373,-0.052353382
LSTM,"{'lr': 0.00023190830837994028, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.44849701376016693}",7.590615988,0.47699142,0.6120527,65.13487697,0.454684242
BiLSTM,"{'lr': 0.00018953045677897894, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.18859407970812658}",8.887167454,0.46095577,0.5854843,88.7364924,0.500293473
GRU,"{'lr': 0.0006468432990647038, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.2671935006109488}",7.25825882,0.33216342,0.42152378,65.31530023,0.740888851
CNN-LSTM,"{'lr': 0.00021259116064284902, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.18386171898309822, 'kernel_size': 7}",10.13338113,0.58567566,0.74021906,76.76554918,0.205665004
TCN,"{'lr': 0.000602196075444005, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.4702134002254409, 'kernel_size': 5, 'channel_0': 35}",7.972443819,0.6712821,0.9322233,135.6852651,-0.269994319
Transformer,"{'lr': 0.006663272669911373, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.417904843431404, 'num_heads': 2}",17.83727813,0.57759255,0.72652036,114.5633698,0.229864035
XGBoost,"{'lr': 0.0038307843870082534, 'num_layers': 3, 'hidden_units': 32, 'dropout': 0.2585903696174379}",0,1.4870195,1.7036418,234.6007586,-3.027998036
CNN,"{'lr': 0.0016734630565327618, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.46719096978135766, 'kernel_size': 3, 'channel_0': 69}",5.865977287,0.4136968,0.59048116,73.11583757,0.488547935
LSTM,"{'lr': 0.0033677033775118257, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.38699130296981765}",6.888751507,0.74333984,0.8812836,198.7024426,-0.176368357
BiLSTM,"{'lr': 0.006308447309488057, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.44944529583270243}",7.996121645,0.15578507,0.20809354,88.84903193,0.935033346
GRU,"{'lr': 0.0004788396640490337, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.42378884133974126}",4.309184074,0.21253447,0.28520802,157.8010678,0.87963992
CNN-LSTM,"{'lr': 0.0026275126852920066, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.3446583488809033, 'kernel_size': 9}",9.468844652,0.32209995,0.39128354,275.0212431,0.767598063
TCN,"{'lr': 0.00010046067238776, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.298847943370183, 'kernel_size': 4, 'channel_0': 140}",7.820759296,1.2448606,1.5852333,367.9917812,-2.780348372
Transformer,"{'lr': 0.00019559718360193887, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.15558950234979402, 'num_heads': 2}",16.06882691,0.7711411,0.94974715,147.7309585,-0.365367274
XGBoost,"{'lr': 0.003306740245606847, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.1766031830700254}",0,1.5444504,1.7483639,543.3970451,-3.635998414
CNN,"{'lr': 0.000431611882466948, 'num_layers': 3, 'hidden_units': 128, 'dropout': 0.20286384010012048, 'kernel_size': 6, 'channel_0': 67, 'channel_1': 207, 'channel_2': 76}",10.42941046,0.935662,1.1072216,239.8540974,-0.851071496
LSTM,"{'lr': 0.0010573662892980555, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.44588434657134257}",11.75589085,0.34946546,0.45822477,131.400001,0.755092477
BiLSTM,"{'lr': 0.0003869763384057912, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.11639521514191142}",8.353212833,0.31879795,0.41439074,123.6116767,0.802201937
GRU,"{'lr': 0.0019929835035657384, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.34740538340426064}",6.876833916,0.29888237,0.38355154,135.3058934,0.83244855
CNN-LSTM,"{'lr': 0.00023902852183532017, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.15248052590737632, 'kernel_size': 3}",8.634151459,0.31584767,0.4057631,135.5685711,0.809650928
TCN,"{'lr': 0.0003768804789351377, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.353988751637892, 'kernel_size': 3, 'channel_0': 176}",7.032093525,0.28013122,0.36443073,159.2311859,0.848302683
Transformer,"{'lr': 0.0011915094668400491, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.48812966247104184, 'num_heads': 4}",26.11992264,0.39995638,0.5115741,165.9823895,0.694875371
XGBoost,"{'lr': 0.00030632202006124556, 'num_layers': 3, 'hidden_units': 64, 'dropout': 0.2298848559709768}",0,1.5174414,1.8017027,689.8948193,-2.716960676
CNN,"{'lr': 0.0008658887876211891, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.20599616381596766, 'kernel_size': 4, 'channel_0': 95}",5.44781971,0.3232319,0.4334163,135.9453678,0.780813804
LSTM,"{'lr': 0.0006341405557922698, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.2157611841698108}",8.941604614,0.5886331,0.7491089,114.6641612,0.065687124
BiLSTM,"{'lr': 0.002717357833674196, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.19440252408519576}",8.964073658,0.50557953,0.6407927,122.4373579,0.312823849
GRU,"{'lr': 0.00012592090949904738, 'num_layers': 3, 'hidden_units': 256, 'dropout': 0.32959175278336594}",15.4174993,0.48792896,0.6443449,127.9706836,0.249929514
CNN-LSTM,"{'lr': 0.001811989774823468, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.4292829867339506, 'kernel_size': 5}",9.55201292,0.67198044,0.8623333,141.3689971,-0.289299706
TCN,"{'lr': 0.0002042701835249772, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.36844495214902484, 'kernel_size': 5, 'channel_0': 154, 'channel_1': 164}",14.00550318,1.257431,1.704352,296.0441113,-4.019860151
Transformer,"{'lr': 0.007426476890857408, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.4511620348013543, 'num_heads': 2}",27.98824883,1.7230258,2.0278914,382.8373909,-6.172940857
XGBoost,"{'lr': 0.001147830801162485, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.497997412946374}",0,1.4657246,1.7078859,338.3026361,-3.968884454
CNN,"{'lr': 0.000397765120474568, 'num_layers': 3, 'hidden_units': 32, 'dropout': 0.12300768853460241, 'kernel_size': 7, 'channel_0': 94, 'channel_1': 76, 'channel_2': 230}",11.83382964,1.2403437,1.5990403,263.18326,-3.591513903
