Model,Best_Params,Training_Time,MAE,RMSE,MAPE,R2
LSTM,"{'lr': 0.0016436052252945489, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.47717768712887776}",8.759855509,0.5346892,0.7667119,178.393352,-0.541996677
BiLSTM,"{'lr': 0.0007311445067894224, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.3923752088276492}",9.259758234,0.36292604,0.52188337,132.3882461,0.290458621
GRU,"{'lr': 0.00012094618582179627, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.35338581272400715}",9.395132542,0.3796315,0.5498198,143.7148929,0.190865634
CNN-LSTM,"{'lr': 0.00014904451058564807, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.1178831565161071, 'kernel_size': 9}",6.682736635,0.45256352,0.6119379,144.5320368,0.050225227
TCN,"{'lr': 0.00016135834446967493, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.36622841300356634, 'kernel_size': 4, 'channel_0': 113}",9.948735476,0.3048984,0.41707197,128.344965,0.564611028
Transformer,"{'lr': 0.0012422706602129101, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.44259741490905125, 'num_heads': 2}",21.04444957,0.34503496,0.48443204,150.2434731,0.433095182
XGBoost,"{'lr': 0.0011124301399158486, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.4176444021992699}",0,1.2858936,1.6902215,553.4396648,-6.427994228
CNN,"{'lr': 0.00019109046426306545, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.32084842757322407, 'kernel_size': 4, 'channel_0': 208}",6.557361364,0.27013692,0.3770713,108.3438158,0.653238248
LSTM,"{'lr': 0.0015708679321929844, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.3254661145825706}",10.76827741,0.36007276,0.599031,130.4832816,0.651442197
BiLSTM,"{'lr': 0.002762762278409802, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3531427662521551}",20.70978332,0.5217002,0.8923912,176.8751621,0.230910311
GRU,"{'lr': 0.00048634122547957056, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.27580924273696583}",6.801072836,0.2832718,0.4983942,128.793478,0.756534647
CNN-LSTM,"{'lr': 0.0006668699082443453, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.15041697282296, 'kernel_size': 9}",10.34842896,0.52211493,0.9137497,148.7743258,0.18791457
TCN,"{'lr': 0.0008386515071808427, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.11396397389816171, 'kernel_size': 3, 'channel_0': 134}",9.36399889,0.35522676,0.641061,181.1515212,0.601639127
