Model,Best_Params,Training_Time,MAE,RMSE,MAPE,R2
LSTM,"{'lr': 0.0007378154043826222, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.48078014030884364}",11.25521016,0.25858662,0.34761637,102.9491901,0.700523368
BiLSTM,"{'lr': 0.00016450070228374503, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.1363861145368869}",8.126306772,0.25065896,0.33277848,107.5980544,0.727151833
GRU,"{'lr': 0.0001986474729136244, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.1594608725788286}",6.321524143,0.24849439,0.33573428,108.3218575,0.721286525
CNN-LSTM,"{'lr': 0.00018468722522710644, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.11438130149566139, 'kernel_size': 7}",6.640409231,0.3283413,0.434641,126.5427947,0.530178803
TCN,"{'lr': 0.0002403540605198648, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.1495203609351013, 'kernel_size': 6, 'channel_0': 203}",8.968658686,0.36937675,0.43715912,174.4591236,0.502608048
Transformer,"{'lr': 0.00036010082966138606, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.21650407934703986, 'num_heads': 2}",17.23597288,0.4978197,0.70445496,180.303812,-0.228418476
XGBoost,"{'lr': 0.002167209265921313, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.16214849015275765}",0,1.6783682,2.4271898,587.6803875,-14.06090102
CNN,"{'lr': 0.0009689268005727216, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.24393352261724607, 'kernel_size': 3, 'channel_0': 201}",6.689952135,0.24650472,0.32316387,115.8259988,0.740927842
LSTM,"{'lr': 0.008935834196464076, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2202115923323007}",10.61794305,0.31148717,0.6153433,75.17353892,0.638938838
BiLSTM,"{'lr': 0.005491061301277417, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.13556694789115534}",14.60269904,0.19964993,0.3731054,72.08864689,0.867350913
GRU,"{'lr': 0.0013708895523641658, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.2254791148549621}",6.684253454,0.10665349,0.19632967,57.52059817,0.963263794
CNN-LSTM,"{'lr': 0.004254084670685095, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.17176437968803826, 'kernel_size': 7}",7.123983383,0.22808039,0.4924223,59.8159492,0.768670308
TCN,"{'lr': 0.0004229761799799813, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.1706072710432988, 'kernel_size': 4, 'channel_0': 169, 'channel_1': 88}",14.91564465,0.20865016,0.36045694,72.57952094,0.876548231
