Model,Best_Params,Training_Time,MAE,RMSE,MAPE,R2
Transformer,"{'lr': 0.00016217119817105253, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.46437604955301326, 'num_heads': 2}",19.7445128,0.44134462,0.79790586,93.68914962,0.394207058
XGBoost,"{'lr': 0.0005817288521689208, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.27107071960720097}",0,1.0531976,1.4738982,693.8204288,-1.064419426
CNN,"{'lr': 0.000770034584610218, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.12026809949706392, 'kernel_size': 4, 'channel_0': 176}",4.737189531,0.38252172,0.6704145,105.9732318,0.571925365
LSTM,"{'lr': 0.006149672208847917, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.43900006859390717}",3.124332905,0.43509722,0.5469985,91.87167883,0.60489824
BiLSTM,"{'lr': 0.008599610998859928, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.438123403198182}",8.387539387,0.49321213,0.62919056,110.4191184,0.471401583
GRU,"{'lr': 0.0004852296136482118, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.15729881680996594}",8.307058811,0.1571988,0.22120017,34.10900235,0.937771596
CNN-LSTM,"{'lr': 0.005915194180864233, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.11644247479983805, 'kernel_size': 9}",7.317908287,0.29020426,0.37290418,145.0094581,0.816125971
TCN,"{'lr': 0.003152189224783517, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.4500329929996637, 'kernel_size': 4, 'channel_0': 180, 'channel_1': 125}",4.839962482,1.4213945,2.0300312,358.6711645,-4.633161369
Transformer,"{'lr': 0.0003280975714820646, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.20922661340348714, 'num_heads': 8}",12.27898836,0.19583732,0.26392952,153.8160801,0.904759353
XGBoost,"{'lr': 0.007209127612329992, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.39482163006700066}",0,1.3997983,1.6187657,428.086853,-2.55369888
CNN,"{'lr': 0.0007383004197589261, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.38661554821023036, 'kernel_size': 5, 'channel_0': 128, 'channel_1': 254}",5.955639124,0.3694416,0.49866536,116.9501185,0.646091991
LSTM,"{'lr': 0.0008302901060134784, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.3429411572925263}",6.661978245,0.30456027,0.39141667,166.0349369,0.149794321
BiLSTM,"{'lr': 0.0001853380795471639, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3315634099120425}",8.465896606,0.29896498,0.3940471,221.3653088,0.162182661
GRU,"{'lr': 0.0027934377228120244, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.2896483694363715}",5.353125811,0.26561734,0.34952384,252.4719238,0.347831414
CNN-LSTM,"{'lr': 0.00010939667979995824, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.17434711209087472, 'kernel_size': 8}",6.972083807,0.3019152,0.38770014,184.9582672,0.168498049
TCN,"{'lr': 0.0017589975703800136, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.10387220165627938, 'kernel_size': 6, 'channel_0': 147}",6.374334574,0.3170772,0.4085727,195.5982924,0.043759446
Transformer,"{'lr': 0.0008297033396248725, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.14654598625637305, 'num_heads': 2}",13.50762081,0.46857974,0.58903325,315.4037476,-0.954300276
XGBoost,"{'lr': 0.0008633704224498704, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.150939739005885}",0,1.6867472,1.9226463,899.241066,-26.37718691
CNN,"{'lr': 0.00684033238636631, 'num_layers': 2, 'hidden_units': 32, 'dropout': 0.12009151029876884, 'kernel_size': 5, 'channel_0': 98, 'channel_1': 197}",6.684324265,0.2850199,0.38226965,141.0620332,0.197098528
LSTM,"{'lr': 0.006074236109117725, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.43790380730935774}",5.57356739,0.2060449,0.29093507,59.45309401,0.875358992
BiLSTM,"{'lr': 0.002239094525376537, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4594699128231369}",5.904507875,0.1772278,0.261558,38.15429509,0.89811739
GRU,"{'lr': 0.004693210109041771, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.15113708867089237}",4.705765247,0.16336444,0.20819938,31.73481822,0.937476865
CNN-LSTM,"{'lr': 0.0007153400291649937, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3360468283570728, 'kernel_size': 4}",13.28489566,0.2353263,0.32841837,81.21019602,0.842253389
TCN,"{'lr': 0.00043888864649087463, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.17317846318479604, 'kernel_size': 3, 'channel_0': 139}",8.739890575,0.31566072,0.4517977,84.62287188,0.700989163
Transformer,"{'lr': 0.0002212859340223, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.17098464582903028, 'num_heads': 2}",17.75628781,0.27013204,0.3661467,56.84902072,0.801250005
XGBoost,"{'lr': 0.00035217543418985907, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.1590943918738578}",0,1.449183,1.6697742,229.9168587,-2.887079694
CNN,"{'lr': 0.0001369135718817232, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.29231598829119354, 'kernel_size': 7, 'channel_0': 182}",5.531813145,0.19637235,0.27079964,51.01202726,0.892584392
LSTM,"{'lr': 0.0028097562718244575, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4462814349533133}",8.938205004,0.3385819,0.42494798,78.12675238,0.728405731
BiLSTM,"{'lr': 0.0061855994767829065, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.20318915607072874}",12.0209868,0.1770161,0.23749126,47.04226851,0.915762645
GRU,"{'lr': 0.0041896450330643, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.11057835951729507}",3.746421337,0.12994988,0.1618762,80.82998395,0.960070437
CNN-LSTM,"{'lr': 0.0007137382737584156, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3103762616422182, 'kernel_size': 6}",5.394982576,0.16297054,0.2029278,156.6357851,0.938683606
TCN,"{'lr': 0.00017969577960594423, 'num_layers': 1, 'hidden_units': 64, 'dropout': 0.312690105788104, 'kernel_size': 4, 'channel_0': 100}",7.893032789,0.5967873,0.7066323,196.9631076,0.263984281
Transformer,"{'lr': 0.00014872928117212368, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.23070044562214573, 'num_heads': 4}",16.27761173,0.2554054,0.34857547,59.92129445,0.819351499
XGBoost,"{'lr': 0.0005500687679089401, 'num_layers': 3, 'hidden_units': 256, 'dropout': 0.38604868959745964}",0,1.5552077,1.7636089,578.1927586,-3.679298499
CNN,"{'lr': 0.003556345977178728, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.49040466152698037, 'kernel_size': 4, 'channel_0': 252}",4.985548019,0.2502004,0.3785046,244.1098452,0.780946047
LSTM,"{'lr': 0.00421685915339581, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.21055455443871673}",7.098149061,0.18018506,0.21036452,88.63114119,0.949165987
BiLSTM,"{'lr': 0.0029307629764901756, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.2845150926458556}",12.23619843,0.18419044,0.22574952,85.13630629,0.940392338
GRU,"{'lr': 0.0017237296090805217, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.2233193290726969}",6.929867744,0.17751628,0.21508826,87.96692491,0.946512717
CNN-LSTM,"{'lr': 0.0003845572055531112, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4534404893065149, 'kernel_size': 8}",5.456935406,0.1316588,0.16746555,49.85097945,0.96723722
TCN,"{'lr': 0.00010728050326590566, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.38325832339843724, 'kernel_size': 5, 'channel_0': 147}",8.079482555,0.18610954,0.23506035,94.64746118,0.935657643
Transformer,"{'lr': 0.0011976775619260693, 'num_layers': 2, 'hidden_units': 128, 'dropout': 0.1581550976065318, 'num_heads': 8}",26.77818298,0.2672618,0.32820916,107.8668833,0.875022064
XGBoost,"{'lr': 0.0009075867021046612, 'num_layers': 2, 'hidden_units': 64, 'dropout': 0.33404383129923876}",0,2.046712,2.4108377,1070.335388,-5.672534499
CNN,"{'lr': 0.00016729721168880237, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.4880785525722463, 'kernel_size': 3, 'channel_0': 190}",5.113126278,0.18929355,0.26193672,75.44702291,0.919279433
LSTM,"{'lr': 0.0008631421537736613, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.22815984512170726}",9.865370512,0.33193594,0.42710754,71.01129889,0.674407587
BiLSTM,"{'lr': 0.0008248746437119335, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.44222230289474584}",9.060762644,0.4036255,0.51638055,74.00773168,0.580882575
GRU,"{'lr': 0.00021307432219873148, 'num_layers': 2, 'hidden_units': 256, 'dropout': 0.3649455519375674}",12.46092844,0.2818979,0.3728873,68.33053827,0.75247686
CNN-LSTM,"{'lr': 0.0006147961178636796, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.3678930529499883, 'kernel_size': 7}",4.324466228,0.3775022,0.5011444,78.49981189,0.554421699
TCN,"{'lr': 0.004370769108021934, 'num_layers': 1, 'hidden_units': 32, 'dropout': 0.14150662423376903, 'kernel_size': 7, 'channel_0': 38}",8.058426142,0.48245287,0.655619,113.77455,0.206735524
Transformer,"{'lr': 0.00010327974339756125, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.37365192398295866, 'num_heads': 4}",18.39545941,0.5957247,0.7507062,105.2095771,0.030815752
XGBoost,"{'lr': 0.0004315919755296562, 'num_layers': 1, 'hidden_units': 128, 'dropout': 0.20449641936754853}",0,1.3589407,1.5716071,319.6458578,-2.895965511
CNN,"{'lr': 0.003371610941510999, 'num_layers': 1, 'hidden_units': 256, 'dropout': 0.3809681976361766, 'kernel_size': 6, 'channel_0': 205}",5.544729948,0.28996792,0.36571664,71.48972154,0.765467046
