Model,MAE,RMSE,MAPE,R2,Overall Score
GRU,0.304¡À0.101,0.423¡À0.136,137.535¡À65.204,0.607¡À0.312,0.785
BiLSTM,0.363¡À0.129,0.504¡À0.209,120.154¡À40.609,0.479¡À0.363,0.7
CNN-LSTM,0.437¡À0.145,0.595¡À0.220,157.043¡À55.751,0.294¡À0.454,0.489
LSTM,0.483¡À0.135,0.648¡À0.142,137.215¡À42.097,0.151¡À0.505,0.434
CNN,0.573¡À0.361,0.762¡À0.429,171.120¡À72.065,-0.272¡À1.456,0.165
Transformer,0.636¡À0.464,0.828¡À0.529,179.721¡À89.455,-0.587¡À2.293,0.01
TCN,0.701¡À0.439,0.982¡À0.599,221.884¡À87.319,-1.042¡À1.906,-0.287
XGBoost,1.369¡À0.172,1.638¡À0.155,535.076¡À203.886,-4.328¡À3.092,-2.296
